text,title,sentiment
"#SouthAfrica and #Botswana have fairly low #vaccination rates.
Charts below show muted daily #infections and low vaccinations in South Africa and Botswana. https://t.co/VW2QCufTM6 https://t.co/OUpLjbVlxs",N,N
RT @ShawnJDaGreat: All facts #COVID19 #Corona #billgates #vaccine #vaccination #covid https://t.co/V62NGiKmnY,O,L
"RT @wqbelle: The enemy is us.

https://t.co/8sgqS2KF6h

from 2019: Yes, we are our own worst enemy. There's nobody else to blame!

#Covid #…",O,N
"RT @USAID_NISHTHA: Healthcare service providers are providing the #vaccination at door steps till November 30.
Let's support this initiativ…",N,L
"RT @spunjmoney: When Bill Gates warns us about something, it has a disturbing habit of coming true.  He's one heck of a prophet, isn't he?…",O,L
"We will not be #ForcedVaccination
#vaccination #COVID19 #vaccine
#SouthAfrica https://t.co/QWwIrlVIHH",N,N
"Good time to get vaccinated people, before the 4th Covid wave hits... Forward to health care for all. #FamilyMeeting #Vaccination",N,L
"RT @SFischer_EU: Are you 18 or older &amp; live in Brussels? Then you might be eligible for a #BoosterShot.

If your #vaccination
- with Johnso…",N,L
"If we need 85% for herd immunity,
this place is below that:
🇩🇲 DOMINICA
36.87% fully vaccinated
as of 23-11-21

Take action: https://t.co/byqvJdADRl

#vaccination #VaxToTheMax #vaccinated #geimpft #ImpfenSchuetzt #impfmich",O,L
"RT @swasthyasevak: Say YES to #vaccination and NO to COVID-19! 

Visit - MC G Raj Rajeshwari Mandir

#Unite2FightCorona #swasthyasevak #cov…",N,L
"Great news. As of today in Belgium we can now book our #vaccination booster dose, if at least 6 months after the 2nd one! Do it! Become part of the solution! https://t.co/4GI52wK23m",N,P
"Say YES to #vaccination and NO to COVID-19! 

Visit - MC G Raj Rajeshwari Mandir

#Unite2FightCorona #swasthyasevak #covid19 #coronavirus #fightsagainstvirus #nagpur #nagpurcity #vaccination #covidcare #covid19help #We4Vaccine 
@CMOMaharashtra 
@ngpnmc  
@mansukhmandviya https://t.co/d9NDmrn9BJ",N,L
RT @htlifeandstyle: It comes as the Southeast Asian nation on Monday launched a three-day #vaccination drive targeting nine million people…,N,P
"It comes as the Southeast Asian nation on Monday launched a three-day #vaccination drive targeting nine million people as young as 12 in an effort to accelerate the roll-out of jabs.
@htTweets 
https://t.co/kAs2rTTyXv",N,P
RT @ETNOWlive: #Omicron | Is it deadly? Is there a need for booster shot? We ask @velumania about the new virus and here's what he had to s…,V,L
The trials and tribulations of pandemic are too numerous to count. When reunions like this occur it should stir something inside all to make darn sure we are fully vaccinated and then press others to do the same. #vaccine #vaccination #VaccinesWork https://t.co/Wh1uaYAFkd,N,N
"RT @Gtv_Luna: ☣️Stop the #COVID19 💉 #vaccines ‼️
#Vaccine #Vaccination #MandatoryVaccination #VaccinePassport https://t.co/V2AXuS1tXU",N,L
"RT @swasthyasevak: Say YES to #vaccination and NO to COVID-19! 

Visit - Suyog Nagar Garden 

#Unite2FightCorona #swasthyasevak #covid19 #c…",N,L
"Say YES to #vaccination and NO to COVID-19! 

Visit - Suyog Nagar Garden 

#Unite2FightCorona #swasthyasevak #covid19 #coronavirus #fightsagainstvirus #nagpur #nagpurcity #safetyfirst  #vaccination #covidcare #covid19help #We4Vaccine 
@CMOMaharashtra  
@ngpnmc 
@mansukhmandviya https://t.co/r036lUtOWc",N,L
"RT @netpoette: In its latest weekly summary (data to November 10) the #MHRA in the UK says it's received 386,517 reports of suspected adver…",O,N
"#vaccination landmark in #India ..wow n export too !
Happy vaccination !!
#covidvariant 
@PMOIndia 
@MoHFW_INDIA 
@NITIAayog 
@PIB_India 
@AmitShahOffice",O,L
"RT @swasthyasevak: Say YES to #vaccination and NO to COVID-19! 

Visit - MC GG Samaj Bhavan, Pannase Lay

#Unite2FightCorona #swasthyasevak…",N,L
"RT @OECD: 🌎 The progress of the #recovery is uneven across regions within countries.

Explore our data on #vaccination rates, #unemployment…",I,N
"Say YES to #vaccination and NO to COVID-19! 

Visit - MC GG Samaj Bhavan, Pannase Lay

#Unite2FightCorona #swasthyasevak #covid19 #coronavirus #fightsagainstvirus #nagpur #nagpurcity #vaccination #covid19help #We4Vaccine  
@ngpnmc 
@OfficeOf_MM 
@CMOMaharashtra https://t.co/061wGBlAMG",N,L
"#India's cumulative #vaccination coverage has crossed 122.41 crore doses. Ministry of #Health also said, ""More than 42.4 lakh doses administered in 24 hours."" https://t.co/ku1duC7mgK",N,L
"RT @MediaActive: Arrived @Bunnings back entrance, timber section. Young female employee: “Can I see your #vaccination certificate, please.”…",N,L
"RT @sanghaviharsh: Hon'ble PM Shri @narendramodi ji chairs meeting with top govt officials on #Covid_19 situation &amp; #vaccination. 

#StaySa…",O,L
RT @RealDavidJensen: @Woofcoast @Real_tombraider @Peoples_Pundit @nuijten_rob @wendylee21742 @SenecaTwoPointO @John37866 @FriendsOScience @…,O,L
"RT @DDNewslive: South African president Cyril Ramaphosa calls for lifting of travel ban due to #Omicron, says  #vaccination is the best def…",T,L
"RT @iArvindRaiyani: Hon'ble PM Shri @narendramodi ji chairs meeting with top govt officials on #Covid_19 situation &amp; #vaccination. 

#StayS…",O,L
RT @netpoette: There's a comprehensive report about this new data in my most recent update to my tome about #Covid #vaccination (in the sec…,N,L
"Worrying new strain shows the virus is not beaten - The #OmicronVariant shows signs that it may be even more transmissible than the highly contagious #DeltaVariant , and able to evade vaccines https://t.co/dKnWG47ukh via @FT #Omricon #COVID19 #Coronavirus #vaccines #vaccination",V,N
"RT @KanuDesai180: Hon'ble PM Shri @narendramodi ji chairs meeting with top govt officials on #Covid_19 situation &amp; #vaccination. 

#IndiaFi…",V,L
"Asia-Pacific stocks fall on fears of Omicron variant’s spread, but markets showed signs of recovery by mid-morning on reports that the virus strain presented only mild symptoms. https://t.co/z9hZWrkJ4I via @FT #Omicron #WallStreet #airlines #COVID19 #vaccines #vaccination",O,N
"Voice Cast from our #Khammam District Correspondent, Bandaru Ramesh #COVID19 #vaccination @PIBHyderabad 

https://t.co/jKZe6M0EL9",O,L
"Arrived @Bunnings back entrance, timber section. Young female employee: “Can I see your #vaccination certificate, please.” Sure. “Thanks for not yelling at me” she said. As I suspected, it’s younger, lower pay-scale, frontline staff copping the #antivax abuse! Not right. #covid19",N,L
"RT @MananDaniBJP: Hon'ble PM Shri @narendramodi ji chairs meeting with top govt officials on #Covid_19 situation &amp; #vaccination. 

#IndiaFi…",O,L
RT @collCartonJaune: Notice #Pfizer (#Comirnaty) https://t.co/YGQGGos8Go,O,L
"RT @BarryDutton: BREAKING

An #Alberta law firm in #Canadastan has served criminal notice to the Crime Minister of #Canada - Justin Trudeau…",O,L
"I strongly encourage everyone to read this article, regardless of your views on COVID-19 vaccination.
Corporations must be held to account.
#Pfizer  Was Aware of Over 50K Serious COVID Vaccine Reactions Within Months of Distribution https://t.co/Fl56DULSWz via @ThePulse_one",N,L
RT @chainyoda: Now you can stake your #pfizer #covid19 vax and earn more vax rewards https://t.co/Cg5671vHv1,N,P
Brought to you by #Pfizer https://t.co/tANJ8w5Wse,O,L
"RT @smitabarooah: Got this in WA. 
#Pfizer https://t.co/TuMxEsnpVT",O,L
RT @RamLalRamgarh: Worldwide Data shows that efficacy of #Pfizer is Poor yet this Pseudo Journalist is trying to be #Pfizer Salesman. https…,N,N
"RT @kernaghanscott5: 3 possibilities: 1) Vax kills people, 2) vax compromises immune systems, 3) vax creates variants

From W.H.O.👇

#5thwa…",N,N
"📣 New Podcast! ""PC4.03 VEGAS FUNERAL"" on @Spreaker #buttsoap #covid #crazymagnet #ilovebigdicks #pfizer #russellacord #softwhiteunderbelly #squatchfest #stevengould #tesla https://t.co/b6pFLiY0Sc",O,L
"RT @dmdsplyinvestor: Did you #catch any? or did you #snooze ?

#Thyrocare
#Morepenlab
#Pfizer

All 3 are flying today

#stockideas #trendli…",O,L
RT @sanjeevchadha8: @SerumInstIndia has become so advanced that they can produce medicine for new #CoronaVariant to beat #Pfizer Perhaps th…,N,P
"fully vaxxed💉

#FullyVaccinated 
#GetVaccinated 
#Pfizer https://t.co/uVJtKsWnDF",N,L
"RT @OffGuardian0: #Merck &amp; #Pfizer are both about to release new ""anti #Covid pills”. 

Press is reporting that #OmicronVariant is potentia…",N,L
"2nd dose, fully vaccinated nako. #pfizer https://t.co/zqsJPr16wt",N,L
RT @TheLucasCrypto: The $BTC chart looks like the heartbeat of a healthy young person on their 2nd Pfizer jab. All over the place and about…,N,N
1st dose ✅ 💉 #pfizer #nationalvaccinationday,N,L
2nd dose gangz #Pfizer https://t.co/UWEEo0ettq,N,L
@JasonNeto20 I did #Pfizer for my first two and then #Moderna for my booster. Was sick after all of them but I’ve got the #LongCovid so hopefully I will be all good.,N,L
"RT @thenairobihosp: COVID 19 VACCINATION UPDATE
Available Vaccines:
1. #Pfizer Vaccine - 1st &amp; 2nd Dose
2. #AstraZeneca vaccine - 1st &amp; 2nd…",N,L
Booster update. My arm is very sore but it’s definitely not magnetized. I don’t know if I should be disappointed that I can’t say I told you so to the weirdo’s who think this happens or disappointed that I am still not a personal magnet. #GetVaccinatedNow 💉#Pfizer,N,L
"I got my vaccine today! 
I thought I cried. HAHHAHA
#Pfizer",N,L
"Did you #catch any? or did you #snooze ?

#Thyrocare
#Morepenlab
#Pfizer

All 3 are flying today

#stockideas #trendlineinvestor #stockmarkets #Mondayvibes https://t.co/gywLgjL5Qu",O,L
"#vaccine #Pfizer #PaulDimattina
AFL star rushed to hospital after suspected reaction to booster jab - @MailOnline 
https://t.co/q144pAgH2o",N,L
"Booster dose is given today to those who above 60+ years of age &amp; 20+ with non-communicable diseases at the following venues!
For more detail, dial 1906
#Pfizer #SL #SriLanka https://t.co/LWbGmFlXav",N,L
@sumanthraman @rvaidya2000 Same hype was made about #DeltaVariant a few months ago which originated in the U.S. #Pfizer managed to successfully push through for booster dose during this period. Now another attempt by #WHO and pharmacy lobby is being made to keep the fear going.,N,N
RT @MicrobesInfect: #Pfizer said it can update its #COVID19 vaccine within 100 days if the #OmicronVariant is found to be resistant to its…,N,L
"#Pfizer #vaccine destroys #Tcells, weakens the #immunesystem – #study https://t.co/gJCGDLDWw0 
https://t.co/eE6GjsyioT",N,L
"I got my first dose 💉
#Pfizer",N,L
